id,age,sex,region,income,married,children,car,saving_ac,current_ac,cross_sell
ID12450,36,FEMALE,TOWN,21168,NO,1,YES,NO,YES,YES
ID12451,33,FEMALE,INNER_CITY,31207.1,NO,0,YES,NO,YES,YES
ID12452,38,FEMALE,RURAL,24424.3,YES,0,NO,YES,YES,NO
ID12453,56,FEMALE,RURAL,24607.8,NO,1,NO,YES,YES,NO
ID12454,48,MALE,TOWN,44413,NO,1,YES,YES,YES,YES
ID12455,49,FEMALE,SUBURBAN,30198.5,YES,0,YES,YES,YES,YES
ID12456,54,FEMALE,RURAL,50186.1,YES,2,NO,YES,YES,YES
ID12457,41,FEMALE,SUBURBAN,22916.1,YES,3,NO,NO,NO,NO
ID12458,32,MALE,RURAL,9592.73,NO,0,NO,NO,YES,YES
ID12459,52,FEMALE,SUBURBAN,34253.6,YES,3,YES,NO,YES,NO
ID12460,52,FEMALE,INNER_CITY,22792.3,YES,1,YES,YES,YES,YES
ID12461,64,FEMALE,TOWN,51620.8,YES,2,YES,YES,YES,YES
ID12462,56,FEMALE,TOWN,19918.9,YES,3,NO,YES,YES,NO
ID12463,56,MALE,TOWN,29625.1,YES,2,NO,NO,NO,NO
ID12464,19,FEMALE,TOWN,12549,YES,0,NO,YES,YES,NO
ID12465,56,FEMALE,TOWN,51299.3,YES,1,YES,YES,NO,YES
ID12466,27,MALE,INNER_CITY,34857,YES,2,YES,YES,NO,YES
ID12467,59,MALE,INNER_CITY,29866.9,YES,1,YES,NO,YES,YES
ID12468,46,MALE,SUBURBAN,47750.2,YES,0,YES,YES,YES,NO
ID12469,21,MALE,TOWN,11281.5,YES,0,NO,NO,YES,NO
ID12470,29,MALE,INNER_CITY,34073.8,YES,3,YES,YES,NO,NO
ID12471,62,MALE,INNER_CITY,46870.4,YES,0,NO,YES,YES,NO
ID12472,44,FEMALE,INNER_CITY,38453.7,NO,2,NO,YES,YES,YES
ID12473,24,MALE,INNER_CITY,7756.36,NO,0,NO,NO,NO,YES
ID12474,52,FEMALE,RURAL,28413.8,YES,0,NO,NO,YES,NO
ID12475,67,FEMALE,SUBURBAN,45001,YES,2,NO,YES,YES,YES
ID12476,41,MALE,INNER_CITY,40664,YES,0,YES,YES,YES,NO
ID12477,58,FEMALE,TOWN,33204.3,NO,1,NO,NO,NO,YES
ID12478,40,MALE,INNER_CITY,24823.5,NO,2,NO,NO,YES,NO
ID12479,19,MALE,SUBURBAN,17986.8,YES,0,NO,NO,YES,YES
ID12480,20,FEMALE,INNER_CITY,9909.82,YES,3,NO,NO,YES,NO
ID12481,56,FEMALE,TOWN,26542.8,YES,0,YES,YES,YES,YES
ID12482,39,FEMALE,INNER_CITY,30924,YES,2,YES,YES,YES,NO
ID12483,30,MALE,INNER_CITY,14606.6,NO,0,NO,NO,YES,NO
ID12484,40,FEMALE,SUBURBAN,34836.8,YES,1,YES,YES,YES,YES
ID12485,36,FEMALE,TOWN,26920.8,NO,0,NO,NO,YES,NO
ID12486,35,FEMALE,SUBURBAN,38248.3,NO,0,YES,NO,YES,NO
ID12487,49,MALE,INNER_CITY,15689.1,NO,0,NO,NO,YES,NO
ID12488,61,MALE,INNER_CITY,30157.7,NO,1,YES,NO,NO,YES
ID12489,29,MALE,INNER_CITY,14642.2,NO,0,YES,YES,YES,YES
ID12490,48,FEMALE,INNER_CITY,15933.3,YES,0,NO,YES,NO,NO
ID12491,56,FEMALE,RURAL,44288.3,YES,1,NO,YES,YES,NO
ID12492,39,MALE,TOWN,22197.1,NO,0,YES,YES,YES,YES
ID12493,58,FEMALE,TOWN,38248.3,YES,3,YES,YES,YES,NO
ID12494,39,FEMALE,SUBURBAN,22053.2,YES,2,YES,YES,NO,NO
ID12495,27,FEMALE,SUBURBAN,25468.5,NO,0,YES,NO,NO,YES
ID12496,67,FEMALE,TOWN,23485.9,YES,3,YES,NO,NO,NO
ID12497,40,MALE,RURAL,25768.6,YES,0,YES,YES,NO,NO
ID12498,48,MALE,INNER_CITY,48895,YES,2,NO,YES,YES,YES
ID12499,64,FEMALE,INNER_CITY,57444.5,NO,0,NO,NO,YES,YES
ID12500,43,MALE,TOWN,38059.8,YES,0,YES,YES,NO,NO
ID12501,29,FEMALE,RURAL,19481.3,NO,0,NO,NO,YES,YES
ID12502,26,MALE,RURAL,19563.8,NO,3,YES,NO,NO,NO
ID12503,48,MALE,INNER_CITY,38598.4,YES,0,YES,NO,YES,NO
ID12504,35,MALE,RURAL,20754.3,NO,0,NO,NO,NO,YES
ID12505,24,FEMALE,RURAL,13864.6,YES,0,NO,NO,YES,YES
ID12506,47,MALE,SUBURBAN,36599,YES,3,YES,YES,YES,YES
ID12507,52,MALE,SUBURBAN,45856.1,NO,1,YES,YES,YES,YES
ID12508,31,MALE,SUBURBAN,22362.3,NO,0,NO,YES,YES,YES
ID12509,41,FEMALE,SUBURBAN,21984,YES,1,YES,YES,NO,YES
ID12510,23,MALE,SUBURBAN,11073,YES,2,NO,YES,NO,NO
ID12511,27,FEMALE,INNER_CITY,18158.5,NO,1,YES,YES,YES,YES
ID12512,22,MALE,INNER_CITY,7304.2,NO,0,YES,YES,YES,NO
ID12513,67,FEMALE,INNER_CITY,58092,YES,3,YES,YES,YES,YES
ID12514,26,FEMALE,INNER_CITY,16518.6,YES,0,YES,NO,YES,YES
ID12515,58,FEMALE,RURAL,46461.5,YES,0,NO,YES,YES,NO
ID12516,27,MALE,RURAL,20058.7,YES,0,NO,NO,YES,NO
ID12517,36,MALE,INNER_CITY,23098,NO,0,YES,YES,NO,NO
ID12518,31,MALE,RURAL,22848.5,YES,1,YES,NO,NO,YES
ID12519,28,FEMALE,TOWN,25699.4,NO,0,YES,YES,YES,YES
ID12520,57,MALE,TOWN,43042,YES,1,YES,YES,NO,NO
ID12521,64,FEMALE,INNER_CITY,17096,YES,0,YES,YES,YES,NO
ID12522,49,MALE,INNER_CITY,15687,NO,1,NO,YES,NO,YES
ID12523,28,MALE,INNER_CITY,11411,YES,1,YES,NO,NO,NO
ID12524,37,FEMALE,INNER_CITY,43940.6,NO,0,YES,YES,NO,NO
ID12525,20,MALE,TOWN,18984,YES,1,YES,YES,NO,YES
ID12526,44,FEMALE,RURAL,44026,YES,2,NO,YES,YES,NO
ID12527,65,MALE,TOWN,29866.3,YES,3,NO,YES,NO,NO
ID12528,53,FEMALE,INNER_CITY,32184.4,YES,2,YES,NO,NO,YES
ID12529,34,FEMALE,INNER_CITY,17308.7,YES,1,NO,NO,NO,YES
ID12530,37,MALE,RURAL,36461,NO,2,NO,YES,NO,NO
ID12531,48,MALE,TOWN,28920.6,YES,0,NO,YES,NO,NO
ID12532,64,FEMALE,TOWN,58367.3,YES,1,YES,YES,NO,YES
ID12533,27,MALE,SUBURBAN,16849.3,NO,0,YES,YES,NO,NO
ID12534,42,FEMALE,RURAL,28138.5,YES,0,NO,NO,NO,YES
ID12535,47,MALE,INNER_CITY,23038.2,YES,0,YES,YES,NO,NO
ID12536,23,MALE,TOWN,28489,YES,2,YES,YES,YES,NO
ID12537,35,MALE,INNER_CITY,24052,YES,0,YES,NO,NO,YES
ID12538,64,FEMALE,INNER_CITY,31415.7,NO,0,YES,YES,NO,YES
ID12539,18,FEMALE,SUBURBAN,30612,YES,1,NO,NO,NO,NO
ID12540,19,FEMALE,SUBURBAN,15417.1,NO,0,YES,NO,NO,NO
ID12541,40,MALE,INNER_CITY,10015,YES,1,NO,YES,NO,YES
ID12542,47,MALE,SUBURBAN,42616,YES,2,YES,YES,YES,NO
ID12543,43,FEMALE,RURAL,36281,YES,0,NO,YES,YES,NO
ID12544,38,MALE,TOWN,47764,NO,0,YES,NO,NO,YES
ID12545,21,FEMALE,RURAL,15797.1,NO,0,NO,NO,NO,YES
ID12546,40,FEMALE,RURAL,31864.8,YES,2,NO,YES,YES,NO
ID12547,52,FEMALE,TOWN,15604,YES,0,NO,YES,NO,NO
ID12548,35,FEMALE,TOWN,30799.5,YES,2,NO,NO,YES,YES
ID12549,53,MALE,RURAL,48971.6,YES,0,YES,YES,NO,YES
ID12550,38,FEMALE,INNER_CITY,34061.4,NO,0,NO,NO,YES,YES
ID12551,42,MALE,INNER_CITY,37413,YES,3,YES,NO,NO,NO
ID12552,43,MALE,TOWN,38540,NO,0,YES,YES,NO,NO
ID12553,59,FEMALE,INNER_CITY,27045.1,NO,0,NO,NO,NO,YES
ID12554,59,FEMALE,RURAL,51284.3,NO,0,YES,YES,YES,NO
ID12555,24,MALE,INNER_CITY,16352.2,NO,0,NO,YES,YES,NO
ID12556,27,FEMALE,INNER_CITY,11866.4,NO,0,YES,YES,YES,NO
ID12557,32,FEMALE,INNER_CITY,14529,YES,0,YES,YES,NO,NO
ID12558,25,FEMALE,INNER_CITY,61554.6,YES,2,NO,YES,NO,NO
ID12559,18,MALE,SUBURBAN,36988,NO,1,NO,NO,YES,NO
ID12560,66,FEMALE,TOWN,46963.9,YES,0,NO,YES,YES,YES
ID12561,41,MALE,INNER_CITY,23475.6,YES,2,YES,NO,NO,YES
ID12562,64,FEMALE,INNER_CITY,24554.1,YES,0,YES,YES,NO,NO
ID12563,23,MALE,INNER_CITY,18050,YES,0,YES,NO,YES,YES
ID12564,29,FEMALE,INNER_CITY,15237.6,YES,2,YES,NO,YES,NO
ID12565,28,MALE,TOWN,20555,NO,0,YES,YES,YES,YES
ID12566,57,FEMALE,TOWN,28421.7,YES,2,YES,YES,YES,NO
ID12567,38,MALE,INNER_CITY,21876.5,YES,0,NO,NO,YES,NO
ID12568,34,FEMALE,RURAL,12810.2,NO,3,NO,YES,YES,YES
ID12569,43,MALE,SUBURBAN,15109.4,YES,1,NO,NO,YES,YES
ID12570,63,MALE,TOWN,37414.7,YES,3,YES,YES,YES,NO
ID12571,62,MALE,INNER_CITY,26923,YES,0,NO,NO,YES,NO
ID12572,51,FEMALE,INNER_CITY,25372.8,YES,0,YES,YES,YES,NO
ID12573,61,MALE,INNER_CITY,21139.8,YES,2,YES,YES,NO,NO
ID12574,41,FEMALE,TOWN,32554,NO,0,NO,YES,YES,YES
ID12575,31,FEMALE,TOWN,22678.1,YES,1,YES,YES,YES,YES
ID12576,33,FEMALE,TOWN,12178.5,YES,0,NO,YES,YES,NO
ID12577,43,MALE,RURAL,26106.7,YES,1,NO,NO,YES,YES
ID12578,40,MALE,INNER_CITY,27417.6,YES,0,NO,YES,NO,NO
ID12579,47,MALE,TOWN,27107,YES,3,NO,YES,YES,NO
ID12580,29,MALE,INNER_CITY,43395.5,YES,1,YES,YES,YES,YES
ID12581,30,MALE,RURAL,11536.2,YES,2,NO,NO,YES,NO
ID12582,47,MALE,INNER_CITY,44658.6,NO,2,YES,YES,NO,YES
ID12583,44,MALE,RURAL,15721,YES,0,NO,YES,YES,NO
ID12584,23,MALE,INNER_CITY,16403.8,YES,0,YES,YES,NO,NO
ID12585,28,FEMALE,INNER_CITY,21184.7,YES,1,YES,YES,YES,YES
ID12586,64,FEMALE,INNER_CITY,49917.3,YES,0,YES,YES,YES,NO
ID12587,35,FEMALE,TOWN,18260,YES,0,NO,YES,NO,NO
ID12588,19,MALE,RURAL,16625.9,YES,1,NO,NO,YES,YES
ID12589,27,FEMALE,TOWN,14014.5,YES,3,NO,YES,NO,NO
ID12590,27,MALE,RURAL,23492,YES,2,NO,NO,NO,YES
ID12591,58,FEMALE,INNER_CITY,31671.3,YES,1,YES,YES,NO,YES
ID12592,40,FEMALE,TOWN,17149.2,NO,1,YES,YES,YES,YES
ID12593,61,FEMALE,TOWN,27756.3,YES,0,NO,YES,NO,YES
ID12594,59,FEMALE,INNER_CITY,41564,NO,0,NO,YES,YES,YES
ID12595,47,FEMALE,RURAL,43743.2,YES,0,NO,NO,NO,NO
ID12596,44,MALE,INNER_CITY,38459.9,YES,0,NO,NO,NO,YES
ID12597,50,MALE,TOWN,40972.9,YES,4,YES,YES,YES,YES
ID12598,36,MALE,INNER_CITY,46587.9,NO,0,NO,YES,YES,YES
ID12599,37,FEMALE,TOWN,43799.6,YES,0,NO,YES,YES,NO
ID12600,46,FEMALE,INNER_CITY,11858,YES,2,YES,NO,YES,YES
ID12601,39,FEMALE,INNER_CITY,27765.8,YES,3,NO,YES,NO,NO
ID12602,58,FEMALE,INNER_CITY,33007.3,NO,1,YES,NO,YES,YES
ID12603,32,FEMALE,INNER_CITY,40927,YES,0,YES,NO,NO,NO
ID12604,22,FEMALE,INNER_CITY,27778,NO,0,YES,YES,NO,NO
ID12605,50,FEMALE,INNER_CITY,59805.6,YES,1,NO,YES,YES,YES
ID12606,43,FEMALE,INNER_CITY,28658.3,YES,3,YES,YES,YES,NO
ID12607,59,FEMALE,INNER_CITY,12003,YES,0,NO,NO,NO,YES
ID12608,34,MALE,INNER_CITY,11595.4,NO,0,YES,YES,NO,YES
ID12609,60,MALE,SUBURBAN,50409.9,NO,2,NO,YES,YES,YES
ID12610,23,FEMALE,INNER_CITY,17229,YES,0,YES,YES,YES,YES
ID12611,29,FEMALE,TOWN,13327.8,YES,0,NO,YES,NO,NO
ID12612,44,MALE,RURAL,37986,YES,3,NO,YES,YES,NO
ID12613,63,FEMALE,TOWN,43943,YES,0,YES,YES,YES,NO
ID12614,25,FEMALE,RURAL,14505.3,NO,3,NO,YES,NO,NO
ID12615,37,MALE,INNER_CITY,33886.4,YES,0,YES,YES,NO,YES
ID12616,48,FEMALE,INNER_CITY,16662.5,YES,1,NO,YES,YES,YES
ID12617,35,FEMALE,TOWN,20262.6,YES,0,NO,YES,YES,YES
ID12618,51,MALE,TOWN,33615.4,YES,1,NO,YES,NO,YES
ID12619,27,FEMALE,SUBURBAN,22007.1,NO,3,YES,NO,YES,NO
ID12620,56,MALE,INNER_CITY,28981.1,YES,3,YES,YES,YES,NO
ID12621,38,MALE,INNER_CITY,12163.9,YES,2,YES,NO,YES,YES
ID12622,36,MALE,TOWN,22681,YES,2,YES,YES,YES,NO
ID12623,45,MALE,SUBURBAN,12683.6,NO,3,YES,YES,YES,NO
ID12624,34,FEMALE,TOWN,16291,YES,0,YES,YES,NO,NO
ID12625,35,MALE,SUBURBAN,14574,YES,0,YES,YES,YES,YES
ID12626,43,FEMALE,INNER_CITY,19326.9,YES,1,NO,NO,YES,YES
ID12627,32,MALE,INNER_CITY,14511.8,NO,0,NO,YES,NO,NO
ID12628,21,FEMALE,TOWN,10672,NO,0,NO,NO,YES,NO
ID12629,30,FEMALE,INNER_CITY,25830.5,YES,2,YES,NO,YES,NO
ID12630,55,MALE,RURAL,36812,YES,1,YES,YES,YES,NO
ID12631,49,MALE,RURAL,59175.1,YES,1,NO,YES,YES,YES
ID12632,36,FEMALE,INNER_CITY,27642.9,NO,1,YES,NO,NO,YES
ID12633,59,MALE,RURAL,30067.5,NO,1,NO,YES,YES,YES
ID12634,60,MALE,INNER_CITY,29714.4,YES,0,YES,NO,YES,YES
ID12635,43,MALE,TOWN,41096,YES,1,YES,YES,YES,NO
ID12636,29,MALE,INNER_CITY,10072.6,YES,0,NO,NO,YES,NO
ID12637,35,FEMALE,INNER_CITY,47145,NO,1,NO,YES,YES,YES
ID12638,61,MALE,RURAL,57176.4,NO,2,NO,NO,YES,YES
ID12639,45,FEMALE,INNER_CITY,38784,YES,0,NO,YES,YES,NO
ID12640,40,MALE,INNER_CITY,10191.8,YES,0,NO,YES,YES,YES
ID12641,48,FEMALE,INNER_CITY,21821.4,YES,1,YES,YES,NO,YES
ID12642,39,MALE,RURAL,37389,YES,2,NO,YES,YES,YES
ID12643,32,MALE,INNER_CITY,14627.9,YES,2,YES,YES,YES,NO
ID12644,63,MALE,INNER_CITY,48770.5,YES,1,YES,YES,NO,YES
ID12645,46,MALE,RURAL,21096.2,YES,1,YES,YES,YES,YES
ID12646,44,MALE,INNER_CITY,36256.9,NO,0,YES,NO,NO,YES
ID12647,27,FEMALE,INNER_CITY,15281.8,NO,0,YES,YES,NO,YES
ID12648,22,MALE,SUBURBAN,9316.98,YES,2,YES,YES,YES,NO
ID12649,42,MALE,RURAL,20736.2,YES,1,YES,YES,YES,YES
ID12650,58,FEMALE,TOWN,52662.5,YES,1,YES,YES,YES,YES
ID12651,23,FEMALE,INNER_CITY,8020.19,YES,1,YES,NO,YES,NO
ID12652,58,MALE,SUBURBAN,32245.4,YES,3,NO,NO,NO,NO
ID12653,45,MALE,INNER_CITY,41107.2,YES,3,YES,YES,YES,NO
ID12654,49,FEMALE,SUBURBAN,39358.3,YES,0,YES,YES,NO,NO
ID12655,32,FEMALE,INNER_CITY,36095.9,YES,3,YES,YES,YES,NO
ID12656,20,FEMALE,TOWN,7723.93,YES,2,YES,YES,YES,NO
ID12657,43,FEMALE,INNER_CITY,18565.8,YES,1,YES,YES,YES,YES
ID12658,41,MALE,RURAL,25132.9,YES,0,NO,NO,YES,NO
ID12659,38,FEMALE,SUBURBAN,31290.6,YES,0,NO,YES,YES,NO
ID12660,47,FEMALE,RURAL,24858.4,YES,0,NO,NO,YES,YES
ID12661,40,FEMALE,RURAL,16398.8,NO,1,NO,YES,YES,YES
ID12662,29,FEMALE,SUBURBAN,23287.9,NO,0,NO,NO,YES,YES
ID12663,57,FEMALE,RURAL,50897.6,YES,0,NO,NO,YES,NO
ID12664,47,FEMALE,INNER_CITY,12498,NO,1,NO,NO,YES,YES
ID12665,44,MALE,SUBURBAN,23092.1,YES,0,YES,NO,NO,YES
ID12666,30,MALE,TOWN,24867.6,NO,0,YES,YES,NO,NO
ID12667,36,FEMALE,TOWN,22234.7,YES,0,NO,NO,YES,NO
ID12668,19,FEMALE,INNER_CITY,21063,YES,2,YES,YES,YES,NO
ID12669,37,FEMALE,TOWN,29574,YES,0,YES,YES,YES,NO
ID12670,49,MALE,INNER_CITY,17944.2,NO,1,YES,YES,YES,YES
ID12671,49,FEMALE,RURAL,33665.5,NO,3,YES,NO,YES,NO
ID12672,40,FEMALE,INNER_CITY,36166.2,YES,0,YES,NO,NO,NO
ID12673,33,FEMALE,RURAL,22457,NO,0,NO,YES,YES,YES
ID12674,39,MALE,INNER_CITY,22400.7,YES,3,YES,YES,YES,NO
ID12675,43,FEMALE,INNER_CITY,28469.9,YES,0,YES,YES,YES,NO
ID12676,37,MALE,TOWN,45661,YES,0,NO,NO,YES,NO
ID12677,24,FEMALE,TOWN,19160.3,YES,1,YES,YES,YES,YES
ID12678,62,MALE,TOWN,45342.5,YES,0,YES,YES,NO,YES
ID12679,18,MALE,RURAL,6294.21,NO,0,NO,YES,YES,NO
ID12680,47,FEMALE,TOWN,18987,YES,0,YES,NO,NO,NO
ID12681,63,MALE,SUBURBAN,51879.3,YES,2,YES,YES,NO,YES
ID12682,39,MALE,TOWN,12644.9,YES,2,YES,NO,YES,NO
ID12683,46,FEMALE,TOWN,21984.4,NO,3,NO,YES,NO,NO
ID12684,38,FEMALE,RURAL,39607,NO,2,YES,YES,YES,NO
ID12685,33,FEMALE,TOWN,23528.4,YES,1,YES,YES,YES,YES
ID12686,41,MALE,TOWN,9516.91,NO,3,YES,YES,YES,NO
ID12687,20,MALE,INNER_CITY,18364.9,YES,1,NO,NO,YES,YES
ID12688,43,FEMALE,TOWN,31273.8,NO,1,YES,YES,NO,YES
ID12689,58,MALE,RURAL,40202,YES,0,NO,YES,YES,NO
ID12690,32,MALE,INNER_CITY,12623.4,YES,1,YES,YES,YES,NO
ID12691,25,MALE,INNER_CITY,23818.6,YES,0,NO,NO,NO,NO
ID12692,40,FEMALE,INNER_CITY,31473.9,YES,2,NO,YES,YES,YES
ID12693,48,MALE,TOWN,20268,YES,0,NO,NO,YES,NO
ID12694,65,MALE,SUBURBAN,51417,YES,2,NO,NO,NO,YES
ID12695,59,FEMALE,INNER_CITY,30971.8,YES,1,YES,YES,YES,NO
ID12696,61,FEMALE,INNER_CITY,47025,YES,2,YES,YES,YES,NO
ID12697,30,FEMALE,INNER_CITY,9672.25,YES,0,YES,YES,YES,NO
ID12698,34,FEMALE,TOWN,15976.3,YES,0,YES,YES,NO,YES
ID12699,29,MALE,INNER_CITY,14711.8,YES,0,YES,YES,NO,NO
ID12700,37,MALE,INNER_CITY,26671.6,NO,0,YES,NO,YES,YES
